Scan ID,IoT Device,Request ID, Response ID, Port, Validity, Time
SCAN_1,58.162.228.234:80,REQ_1_P80,Null,80,False,2022-05-08 18:59:38.240341
SCAN_2,58.162.228.234:80,REQ_2_P80,RES_4_P80,80,True,2022-05-10 09:48:59.702400
SCAN_3,58.162.228.234:80,REQ_3_P80,RES_5_P80,80,True,2022-05-10 09:49:00.147996
SCAN_4,58.162.228.234:80,REQ_4_P80,RES_4_P80,80,True,2022-05-10 09:49:00.580741
SCAN_5,58.162.228.234:80,REQ_5_P80,RES_5_P80,80,True,2022-05-10 09:49:01.026289
SCAN_6,58.162.228.234:80,REQ_6_P80,RES_4_P80,80,True,2022-05-10 09:49:01.458052
SCAN_7,58.162.228.234:80,REQ_7_P80,RES_4_P80,80,True,2022-05-10 09:49:01.904047
SCAN_8,58.162.228.234:80,REQ_8_P80,RES_4_P80,80,True,2022-05-10 09:49:02.339944
SCAN_9,58.162.228.234:80,REQ_9_P80,RES_4_P80,80,True,2022-05-10 09:49:02.783506
SCAN_10,58.162.228.234:80,REQ_10_P80,RES_4_P80,80,True,2022-05-10 09:49:03.229117
SCAN_11,58.162.228.234:80,REQ_11_P80,RES_4_P80,80,True,2022-05-10 09:49:03.664985
SCAN_12,58.162.228.234:80,REQ_12_P80,RES_4_P80,80,True,2022-05-10 09:49:04.101343
SCAN_13,58.162.228.234:80,REQ_13_P80,RES_5_P80,80,True,2022-05-10 09:49:04.570264
SCAN_14,58.162.228.234:80,REQ_14_P80,RES_4_P80,80,True,2022-05-10 09:49:05.033244
SCAN_15,58.162.228.234:80,REQ_15_P80,RES_4_P80,80,True,2022-05-10 09:49:05.496553
SCAN_16,58.162.228.234:80,REQ_16_P80,RES_4_P80,80,True,2022-05-10 09:49:05.951866
SCAN_17,58.162.228.234:80,REQ_17_P80,RES_4_P80,80,True,2022-05-10 09:49:06.394300
SCAN_18,58.162.228.234:80,REQ_18_P80,RES_4_P80,80,True,2022-05-10 09:49:06.826730
SCAN_19,58.162.228.234:80,REQ_19_P80,RES_4_P80,80,True,2022-05-10 09:49:07.269305
SCAN_20,58.162.228.234:80,REQ_20_P80,RES_4_P80,80,True,2022-05-10 09:49:07.702142
SCAN_21,58.162.228.234:80,REQ_21_P80,RES_4_P80,80,True,2022-05-10 09:49:08.156929
SCAN_22,58.162.228.234:80,REQ_22_P80,RES_4_P80,80,True,2022-05-10 09:49:08.622376
SCAN_23,58.162.228.234:80,REQ_23_P80,RES_4_P80,80,True,2022-05-10 09:49:09.058008
SCAN_24,58.162.228.234:80,REQ_24_P80,RES_4_P80,80,True,2022-05-10 09:49:09.500437
SCAN_25,58.162.228.234:80,REQ_25_P80,RES_4_P80,80,True,2022-05-10 09:49:09.936856
SCAN_26,58.162.228.234:80,REQ_26_P80,RES_4_P80,80,True,2022-05-10 09:49:10.373086
SCAN_27,58.162.228.234:80,REQ_27_P80,RES_4_P80,80,True,2022-05-10 09:49:10.809805
SCAN_28,58.162.228.234:80,REQ_28_P80,RES_4_P80,80,True,2022-05-10 09:49:11.276258
SCAN_29,58.162.228.234:80,REQ_29_P80,RES_4_P80,80,True,2022-05-10 09:49:11.744306
SCAN_30,58.162.228.234:80,REQ_30_P80,RES_4_P80,80,True,2022-05-10 09:49:12.180967
SCAN_31,58.162.228.234:80,REQ_31_P80,RES_4_P80,80,True,2022-05-10 09:49:12.646152
SCAN_32,58.162.228.234:80,REQ_32_P80,RES_4_P80,80,True,2022-05-10 09:49:13.079750
SCAN_33,58.162.228.234:80,REQ_33_P80,RES_4_P80,80,True,2022-05-10 09:49:13.520519
SCAN_34,58.162.228.234:80,REQ_34_P80,RES_4_P80,80,True,2022-05-10 09:49:13.964475
SCAN_35,58.162.228.234:80,REQ_35_P80,RES_4_P80,80,True,2022-05-10 09:49:14.401621
SCAN_36,58.162.228.234:80,REQ_36_P80,RES_4_P80,80,True,2022-05-10 09:49:14.843385
SCAN_37,58.162.228.234:80,REQ_37_P80,RES_4_P80,80,True,2022-05-10 09:49:15.286512
SCAN_38,58.162.228.234:80,REQ_38_P80,RES_3_P80,80,True,2022-05-10 09:49:16.197915
SCAN_39,58.162.228.234:80,REQ_39_P80,RES_3_P80,80,True,2022-05-10 09:49:17.108984
SCAN_40,58.162.228.234:80,REQ_40_P80,RES_3_P80,80,True,2022-05-10 09:49:17.982348
SCAN_41,58.162.228.234:80,REQ_41_P80,RES_5_P80,80,True,2022-05-10 09:49:18.414724
SCAN_42,58.162.228.234:80,REQ_42_P80,RES_4_P80,80,True,2022-05-10 09:49:18.858386
SCAN_43,58.162.228.234:80,REQ_43_P80,RES_4_P80,80,True,2022-05-10 09:49:19.323486
SCAN_44,58.162.228.234:80,REQ_44_P80,RES_4_P80,80,True,2022-05-10 09:49:19.756842
SCAN_45,58.162.228.234:80,REQ_45_P80,RES_4_P80,80,True,2022-05-10 09:49:20.191817
SCAN_46,58.162.228.234:80,REQ_46_P80,RES_4_P80,80,True,2022-05-10 09:49:20.627928
SCAN_47,58.162.228.234:80,REQ_47_P80,RES_4_P80,80,True,2022-05-10 09:49:21.063846
SCAN_48,58.162.228.234:80,REQ_48_P80,RES_4_P80,80,True,2022-05-10 09:49:21.499936
SCAN_49,58.162.228.234:80,REQ_49_P80,RES_4_P80,80,True,2022-05-10 09:49:21.958043
SCAN_50,58.162.228.234:80,REQ_50_P80,RES_4_P80,80,True,2022-05-10 09:49:22.393867
SCAN_51,58.162.228.234:80,REQ_51_P80,RES_4_P80,80,True,2022-05-10 09:49:22.830061
SCAN_52,58.162.228.234:80,REQ_52_P80,RES_4_P80,80,True,2022-05-10 09:49:23.277050
SCAN_53,58.162.228.234:80,REQ_53_P80,RES_4_P80,80,True,2022-05-10 09:49:23.712793
SCAN_54,58.162.228.234:80,REQ_54_P80,RES_4_P80,80,True,2022-05-10 09:49:24.158488
SCAN_55,58.162.228.234:80,REQ_55_P80,RES_4_P80,80,True,2022-05-10 09:49:24.627397
SCAN_56,58.162.228.234:80,REQ_56_P80,RES_4_P80,80,True,2022-05-10 09:49:25.064109
SCAN_57,58.162.228.234:80,REQ_57_P80,RES_4_P80,80,True,2022-05-10 09:49:25.500264
SCAN_58,58.162.228.234:80,REQ_58_P80,RES_4_P80,80,True,2022-05-10 09:49:25.967352
SCAN_59,58.162.228.234:80,REQ_59_P80,RES_4_P80,80,True,2022-05-10 09:49:26.399864
SCAN_60,58.162.228.234:80,REQ_60_P80,RES_4_P80,80,True,2022-05-10 09:49:26.844505
SCAN_61,58.162.228.234:80,REQ_61_P80,RES_4_P80,80,True,2022-05-10 09:49:27.276779
SCAN_62,58.162.228.234:80,REQ_62_P80,RES_4_P80,80,True,2022-05-10 09:49:27.717601
SCAN_63,58.162.228.234:80,REQ_63_P80,RES_4_P80,80,True,2022-05-10 09:49:28.149223
SCAN_64,58.162.228.234:80,REQ_64_P80,RES_4_P80,80,True,2022-05-10 09:49:28.594975
SCAN_65,58.162.228.234:80,REQ_65_P80,RES_4_P80,80,True,2022-05-10 09:49:29.026831
SCAN_66,58.162.228.234:80,REQ_66_P80,RES_4_P80,80,True,2022-05-10 09:49:29.483932
SCAN_67,58.162.228.234:80,REQ_67_P80,RES_4_P80,80,True,2022-05-10 09:49:29.928522
SCAN_68,58.162.228.234:80,REQ_68_P80,RES_4_P80,80,True,2022-05-10 09:49:30.361851
SCAN_69,58.162.228.234:80,REQ_69_P80,RES_4_P80,80,True,2022-05-10 09:49:30.798208
SCAN_70,58.162.228.234:80,REQ_70_P80,RES_4_P80,80,True,2022-05-10 09:49:31.234285
SCAN_71,58.162.228.234:80,REQ_71_P80,RES_4_P80,80,True,2022-05-10 09:49:31.680410
SCAN_72,58.162.228.234:80,REQ_72_P80,RES_4_P80,80,True,2022-05-10 09:49:32.113165
SCAN_73,58.162.228.234:80,REQ_73_P80,RES_4_P80,80,True,2022-05-10 09:49:32.576581
