ID,ADDR,HEADERS,CONTENT,STATUS_CODE,REQ_TYPE,VALUE,TIME
RES_1_P88,58.162.228.234:80,"b'\xef\xbb\xbf<!doctype html>\r\n<head>\r\n<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />\r\n<title>index</title>\r\n<script type=""text/javascript"" src=""doc/script/jquery-1.7.1.min.js""></script>\r\n<script type=""text/javascript"" src=""doc/script/jquery.cookie.js""></script>\r\n<script>\r\nfunction initIndex() {\r\n\tif (navigator.appName == \'Netscape\' || navigator.appName == ""Opera"") {\r\n\t\tvar sysLanguage= navigator.language.toLowerCase();\r\n\t} else {\r\n\t\tvar sysLanguage= navigator.browserLanguage.toLowerCase();\r\n\t}\r\n\tvar szLanguage = sysLanguage.substring(0,2);\r\n\t$.cookie(\'language\', szLanguage);\r\n\tself.moveTo(0,0);   //\xe4\xbd\xbf\xe5\x85\xb6IE\xe7\xaa\x97\xe5\x8f\xa3\xe6\x9c\x80\xe5\xa4\xa7\xe5\x8c\x96\r\n\tself.resizeTo(screen.availWidth,screen.availHeight); \r\n\t$.cookie(\'updateTips\', \'true\');\r\n\twindow.location.href = ""doc/page/login.asp"";\r\n}\r\n</script> \r\n</head>\r\n<body onLoad=""initIndex()""></body>\r\n</html>'",2022-05-03 19:45:36.794243
RES_2_P88,58.162.228.234:80,b'<html><head><title>Document Error: Site or Page Not Found</title></head>\r\n\t\t<body><h2>Access Error: Site or Page Not Found</h2>\r\n\t\t<p>Cannot open URL</p></body></html>\r\n\r\n',2022-05-03 19:45:37.541564
RES_3_P88,58.162.228.234:80,b'<html><head><title>Document Error: Site or Page Not Found</title></head>\r\n\t\t<body><h2>Access Error: Site or Page Not Found</h2>\r\n\t\t<p>Cannot open URL</p></body></html>\r\n\r\n',2022-05-03 19:45:38.259605
