SessionID,ADDR,RequestID,ResponseID,TIME,STATUS,PORT
S1,"('54.86.50.139', 9176)",REQ_41_P443,RES_22_P443,2022-05-10 10:09:10.723058,closed,443
S2,"('212.102.58.164', 44220)",REQ_42_P443,RES_28_P443,2022-05-10 10:38:51.027043,closed,443
S2,"('212.102.58.164', 52096)",REQ_43_P443,RES_14_P443,2022-05-10 10:39:31.229444,closed,443
S4,"('212.102.58.164', 36826)",REQ_44_P443,RES_9_P443,2022-05-10 10:45:01.748818,closed,443
S5,"('212.102.58.164', 39094)",REQ_45_P443,RES_26_P443,2022-05-10 10:46:23.214640,closed,443
S6,"('71.6.232.5', 45532)",REQ_46_P443,RES_1_P443,2022-05-10 10:49:24.324530,closed,443
S7,"('103.203.57.10', 46868)",REQ_47_P443,RES_1_P443,2022-05-10 10:53:56.114156,closed,443
S7,"('103.203.57.10', 46882)",REQ_48_P443,RES_17_P443,2022-05-10 10:53:57.585733,closed,443
S9,"('212.102.58.164', 58880)",REQ_49_P443,RES_4_P443,2022-05-10 10:54:34.548475,closed,443
S10,"('212.102.58.164', 59724)",REQ_50_P443,RES_4_P443,2022-05-10 10:56:05.307978,closed,443
S11,"('23.239.9.151', 61000)",REQ_51_P443,RES_28_P443,2022-05-10 10:59:27.637156,closed,443
S12,"('212.102.40.170', 53996)",REQ_52_P443,RES_4_P443,2022-05-10 11:47:59.989020,closed,443
S13,"('154.89.5.68', 43732)",REQ_53_P443,RES_34_P443,2022-05-10 11:50:48.246787,closed,443
S13,"('154.89.5.68', 44456)",REQ_54_P443,RES_34_P443,2022-05-10 11:50:50.151220,closed,443
S13,"('154.89.5.68', 44766)",REQ_55_P443,RES_16_P443,2022-05-10 11:50:51.537468,closed,443
S13,"('154.89.5.68', 49378)",REQ_56_P443,RES_2_P443,2022-05-10 11:50:53.371236,closed,443
S17,"('118.193.45.5', 6586)",REQ_57_P443,RES_26_P443,2022-05-10 11:51:11.822491,closed,443
S18,"('152.32.188.74', 51764)",REQ_58_P443,RES_2_P443,2022-05-10 11:52:07.419660,closed,443
S19,"('103.14.35.145', 53576)",REQ_59_P443,RES_32_P443,2022-05-10 11:53:07.706470,closed,443
S20,"('212.102.58.164', 54064)",REQ_60_P443,RES_33_P443,2022-05-10 11:55:19.907162,closed,443
S20,"('212.102.58.164', 41304)",REQ_61_P443,RES_40_P443,2022-05-10 11:55:54.202923,closed,443
S22,"('212.102.58.164', 52888)",REQ_62_P443,RES_33_P443,2022-05-10 12:01:31.029480,closed,443
S22,"('212.102.58.164', 56986)",REQ_63_P443,RES_17_P443,2022-05-10 12:02:47.899777,closed,443
S24,"('212.102.58.164', 43958)",REQ_64_P443,RES_40_P443,2022-05-10 12:11:49.592978,closed,443
S24,"('212.102.58.164', 43210)",REQ_65_P443,RES_49_P443,2022-05-10 12:12:10.593575,closed,443
S26,"('212.102.58.164', 52258)",REQ_66_P443,RES_10_P443,2022-05-10 14:33:05.068865,closed,443
S27,"('212.102.58.164', 49520)",REQ_67_P443,RES_40_P443,2022-05-10 14:37:03.414610,closed,443
S28,"('45.56.99.75', 61000)",REQ_69_P443,RES_41_P443,2022-05-10 17:00:43.593837,closed,443
S29,"('212.102.58.164', 53874)",REQ_70_P443,RES_52_P443,2022-05-10 18:54:15.409751,closed,443
S30,"('212.102.58.164', 52028)",REQ_71_P443,RES_32_P443,2022-05-10 18:57:20.561836,closed,443
S31,"('23.239.10.196', 61000)",REQ_72_P443,RES_52_P443,2022-05-10 19:02:31.952369,closed,443
S32,"('212.102.58.164', 45554)",REQ_73_P443,RES_27_P443,2022-05-10 19:03:26.498573,closed,443
S33,"('212.102.58.164', 39298)",REQ_74_P443,RES_45_P443,2022-05-10 19:05:17.676087,closed,443
S34,"('212.102.58.164', 50098)",REQ_75_P443,RES_1_P443,2022-05-10 19:13:33.682107,closed,443
S34,"('212.102.58.164', 54808)",REQ_76_P443,RES_39_P443,2022-05-10 19:14:54.947552,closed,443
S36,"('45.79.154.156', 61000)",REQ_77_P443,RES_46_P443,2022-05-10 21:00:33.738838,closed,443
S37,"('193.46.255.49', 55400)",REQ_78_P443,RES_19_P443,2022-05-10 21:12:47.759457,closed,443
S38,"('212.102.58.164', 36258)",REQ_79_P443,RES_46_P443,2022-05-10 22:10:31.822900,closed,443
S39,"('212.102.58.164', 39676)",REQ_80_P443,RES_40_P443,2022-05-10 22:12:03.568743,closed,443
S40,"('192.241.218.16', 33638)",REQ_81_P443,RES_36_P443,2022-05-10 22:24:41.676096,closed,443
S41,"('45.61.188.169', 50534)",REQ_82_P443,RES_41_P443,2022-05-10 22:33:30.902607,closed,443
S42,"('45.79.184.158', 61000)",REQ_83_P443,RES_28_P443,2022-05-10 22:58:58.394378,closed,443
S43,"('212.102.58.164', 44724)",REQ_84_P443,RES_7_P443,2022-05-10 23:08:39.714568,closed,443
S44,"('192.241.221.94', 56528)",REQ_85_P443,RES_14_P443,2022-05-10 23:09:39.067731,closed,443
S45,"('212.102.58.164', 54508)",REQ_86_P443,RES_39_P443,2022-05-10 23:10:19.234029,closed,443
S46,"('212.102.58.164', 60936)",REQ_87_P443,RES_42_P443,2022-05-10 23:17:20.136911,closed,443
S47,"('212.102.58.164', 40336)",REQ_88_P443,RES_37_P443,2022-05-10 23:22:00.338846,closed,443
S48,"('45.63.12.50', 52508)",REQ_89_P443,RES_13_P443,2022-05-10 23:27:36.635486,closed,443
S49,"('212.102.58.164', 56272)",REQ_90_P443,RES_34_P443,2022-05-10 23:31:02.995132,closed,443
S49,"('212.102.58.164', 36554)",REQ_91_P443,RES_33_P443,2022-05-10 23:32:10.636693,closed,443
S51,"('212.102.40.170', 9868)",REQ_92_P443,RES_49_P443,2022-05-10 23:45:33.865882,closed,443
S52,"('172.104.218.130', 61000)",REQ_93_P443,RES_33_P443,2022-05-11 00:29:31.112598,closed,443
S53,"('212.102.40.170', 8026)",REQ_94_P443,RES_45_P443,2022-05-11 00:36:32.742642,closed,443
S54,"('128.1.248.26', 53924)",REQ_95_P443,RES_43_P443,2022-05-11 00:41:32.081446,closed,443
S55,"('192.241.222.31', 45790)",REQ_96_P443,RES_44_P443,2022-05-11 01:14:35.817380,closed,443
S56,"('104.131.181.99', 47648)",REQ_97_P443,RES_4_P443,2022-05-11 07:43:54.049622,closed,443
S56,"('104.131.181.99', 47766)",REQ_98_P443,RES_45_P443,2022-05-11 07:43:55.690942,closed,443
S56,"('104.131.181.99', 55544)",REQ_99_P443,RES_41_P443,2022-05-11 07:43:57.142842,closed,443
S56,"('104.131.181.99', 60714)",REQ_100_P443,RES_51_P443,2022-05-11 07:43:58.553391,closed,443
S56,"('104.131.181.99', 37392)",REQ_101_P443,RES_15_P443,2022-05-11 07:43:59.959369,closed,443
S56,"('104.131.181.99', 41470)",REQ_102_P443,RES_36_P443,2022-05-11 07:44:01.390381,closed,443
S56,"('104.131.181.99', 45558)",REQ_103_P443,RES_14_P443,2022-05-11 07:44:02.802030,closed,443
S56,"('104.131.181.99', 50262)",REQ_104_P443,RES_47_P443,2022-05-11 07:44:04.218999,closed,443
S56,"('104.131.181.99', 55338)",REQ_105_P443,RES_38_P443,2022-05-11 07:44:05.639178,closed,443
S56,"('104.131.181.99', 59078)",REQ_106_P443,RES_4_P443,2022-05-11 07:44:07.054522,closed,443
S56,"('104.131.181.99', 35106)",REQ_107_P443,RES_33_P443,2022-05-11 07:44:08.469365,closed,443
S67,"('178.128.228.94', 48782)",REQ_108_P443,RES_32_P443,2022-05-11 07:47:38.897969,closed,443
S68,"('192.241.214.157', 55250)",REQ_109_P443,RES_36_P443,2022-05-11 08:09:07.592011,closed,443
S69,"('66.228.33.237', 61000)",REQ_110_P443,RES_13_P443,2022-05-11 08:14:47.556373,closed,443
S70,"('198.199.114.159', 34204)",REQ_111_P443,RES_49_P443,2022-05-11 08:25:15.485263,closed,443
S71,"('109.248.6.38', 56407)",REQ_112_P443,RES_48_P443,2022-05-11 08:40:38.134298,closed,443
S72,"('212.102.58.164', 41318)",REQ_113_P443,RES_37_P443,2022-05-11 08:48:45.365660,closed,443
S73,"('212.102.40.170', 4906)",REQ_114_P443,RES_25_P443,2022-05-11 09:15:42.002409,closed,443
S74,"('212.102.58.164', 53778)",REQ_115_P443,RES_35_P443,2022-05-11 09:39:16.854040,closed,443
S74,"('212.102.58.164', 49724)",REQ_116_P443,RES_33_P443,2022-05-11 09:39:50.750303,closed,443
S76,"('212.102.58.164', 50716)",REQ_117_P443,RES_44_P443,2022-05-11 09:45:17.285691,closed,443
S77,"('212.102.58.164', 49786)",REQ_118_P443,RES_46_P443,2022-05-11 09:46:53.924552,closed,443
S78,"('212.102.58.164', 35024)",REQ_119_P443,RES_36_P443,2022-05-11 09:54:27.098483,closed,443
S79,"('45.33.96.205', 60156)",REQ_120_P443,RES_25_P443,2022-05-11 09:54:58.683647,closed,443
S80,"('212.102.58.164', 39030)",REQ_121_P443,RES_38_P443,2022-05-11 09:55:57.828099,closed,443
S81,"('97.107.132.124', 61000)",REQ_122_P443,RES_43_P443,2022-05-11 10:16:12.684233,closed,443
S82,"('212.102.40.170', 54058)",REQ_123_P443,RES_44_P443,2022-05-11 10:21:43.703462,closed,443
S83,"('212.102.58.164', 54036)",REQ_124_P443,RES_33_P443,2022-05-11 11:02:04.026437,closed,443
S83,"('212.102.58.164', 58960)",REQ_125_P443,RES_4_P443,2022-05-11 11:03:23.101239,closed,443
S85,"('193.46.255.49', 46973)",REQ_126_P443,RES_16_P443,2022-05-11 11:08:14.029672,closed,443
S86,"('212.102.58.164', 58000)",REQ_127_P443,RES_7_P443,2022-05-11 11:11:43.131970,closed,443
S86,"('212.102.58.164', 45090)",REQ_128_P443,RES_39_P443,2022-05-11 11:12:50.259053,closed,443
S88,"('212.102.58.164', 44140)",REQ_129_P443,RES_53_P443,2022-05-11 11:18:47.492233,closed,443
S89,"('169.228.66.212', 40644)",REQ_130_P443,RES_19_P443,2022-05-11 11:30:39.410567,closed,443
S90,"('212.102.40.170', 53904)",REQ_131_P443,RES_16_P443,2022-05-11 11:45:09.475789,closed,443
S91,"('212.102.58.164', 56924)",REQ_132_P443,RES_38_P443,2022-05-11 12:08:57.330002,closed,443
S92,"('212.102.58.164', 43770)",REQ_133_P443,RES_15_P443,2022-05-11 12:12:18.605588,closed,443
S93,"('45.79.154.161', 61000)",REQ_134_P443,RES_28_P443,2022-05-11 12:14:50.728253,closed,443
S94,"('130.211.54.158', 57546)",REQ_135_P443,RES_39_P443,2022-05-12 15:12:36.130171,closed,443
S95,"('184.105.247.254', 45074)",REQ_136_P443,RES_18_P443,2022-05-12 15:48:34.556139,closed,443
S96,"('212.102.58.164', 52942)",REQ_137_P443,RES_39_P443,2022-05-12 15:53:00.439349,closed,443
S96,"('212.102.58.164', 36080)",REQ_138_P443,RES_52_P443,2022-05-12 15:54:17.947597,closed,443
S98,"('212.102.58.164', 58552)",REQ_139_P443,RES_31_P443,2022-05-12 15:59:48.441463,closed,443
S99,"('212.102.58.164', 42408)",REQ_140_P443,RES_27_P443,2022-05-12 16:01:12.898082,closed,443
S100,"('212.102.58.164', 44700)",REQ_141_P443,RES_33_P443,2022-05-12 16:10:49.501174,closed,443
S100,"('212.102.58.164', 46112)",REQ_142_P443,RES_40_P443,2022-05-12 16:11:42.163848,closed,443
S102,"('212.102.40.170', 16674)",REQ_143_P443,RES_27_P443,2022-05-12 16:13:09.231711,closed,443
S103,"('212.102.58.164', 48004)",REQ_144_P443,RES_43_P443,2022-05-12 16:17:45.455442,closed,443
S103,"('212.102.58.164', 33066)",REQ_145_P443,RES_47_P443,2022-05-12 16:18:51.932653,closed,443
S105,"('45.56.107.247', 61000)",REQ_146_P443,RES_38_P443,2022-05-12 16:29:52.769459,closed,443
S106,"('183.136.225.35', 4126)",REQ_147_P443,RES_10_P443,2022-05-12 16:39:53.259198,closed,443
S107,"('212.102.58.164', 42116)",REQ_148_P443,RES_37_P443,2022-05-12 17:17:53.645890,closed,443
S108,"('212.102.58.164', 58062)",REQ_149_P443,RES_14_P443,2022-05-12 17:19:34.381614,closed,443
S109,"('212.102.58.164', 51312)",REQ_150_P443,RES_27_P443,2022-05-12 17:27:18.803940,closed,443
S110,"('212.102.58.164', 60566)",REQ_151_P443,RES_38_P443,2022-05-12 17:29:37.054735,closed,443
S111,"('212.102.40.170', 62914)",REQ_152_P443,RES_27_P443,2022-05-12 17:32:48.871388,closed,443
S112,"('34.217.120.206', 48839)",REQ_153_P443,RES_3_P443,2022-05-12 17:50:11.840454,closed,443
S112,"('34.217.120.206', 8411)",REQ_154_P443,RES_36_P443,2022-05-12 17:50:13.232949,closed,443
S112,"('34.217.120.206', 27407)",REQ_155_P443,RES_18_P443,2022-05-12 17:50:14.369054,closed,443
S112,"('34.217.120.206', 45979)",REQ_156_P443,RES_15_P443,2022-05-12 17:50:15.504259,closed,443
S112,"('34.217.120.206', 59497)",REQ_157_P443,RES_31_P443,2022-05-12 17:50:16.638694,closed,443
S112,"('34.217.120.206', 1775)",REQ_158_P443,RES_7_P443,2022-05-12 17:50:17.772078,closed,443
S112,"('34.217.120.206', 8641)",REQ_159_P443,RES_25_P443,2022-05-12 17:50:18.905919,closed,443
S119,"('192.241.216.38', 39430)",REQ_160_P443,RES_25_P443,2022-05-12 17:58:53.943048,closed,443
S120,"('212.102.58.164', 60960)",REQ_161_P443,RES_41_P443,2022-05-12 18:38:38.858971,closed,443
S120,"('212.102.58.164', 35764)",REQ_162_P443,RES_43_P443,2022-05-12 18:39:50.807447,closed,443
S122,"('212.102.58.164', 57690)",REQ_163_P443,RES_40_P443,2022-05-12 18:46:22.292249,closed,443
S122,"('212.102.58.164', 53244)",REQ_164_P443,RES_40_P443,2022-05-12 18:47:30.914451,closed,443
S124,"('146.88.240.14', 49055)",REQ_165_P443,RES_44_P443,2022-05-12 19:21:26.126545,closed,443
S125,"('100.24.104.123', 30533)",REQ_166_P443,RES_7_P443,2022-05-12 22:21:04.432066,closed,443
S125,"('100.24.104.123', 61809)",REQ_167_P443,RES_31_P443,2022-05-12 22:21:05.573235,closed,443
S127,"('164.92.104.53', 51852)",REQ_168_P443,RES_44_P443,2022-05-12 22:33:26.423636,closed,443
S128,"('212.102.58.164', 34962)",REQ_169_P443,RES_37_P443,2022-05-12 22:45:53.423934,closed,443
S128,"('212.102.58.164', 48604)",REQ_170_P443,RES_18_P443,2022-05-12 22:47:06.047994,closed,443
S130,"('128.1.248.42', 54796)",REQ_171_P443,RES_46_P443,2022-05-12 22:55:38.044729,closed,443
S131,"('212.102.58.164', 56832)",REQ_172_P443,RES_39_P443,2022-05-12 23:02:44.664091,closed,443
S131,"('212.102.58.164', 52944)",REQ_173_P443,RES_38_P443,2022-05-12 23:03:03.606646,closed,443
S133,"('45.63.12.50', 53646)",REQ_174_P443,RES_10_P443,2022-05-12 23:27:52.221883,closed,443
S134,"('192.241.219.22', 33202)",REQ_175_P443,RES_50_P443,2022-05-12 23:32:28.119261,closed,443
S135,"('198.235.24.153', 59613)",REQ_176_P443,RES_48_P443,2022-05-12 23:39:56.736373,closed,443
S136,"('104.140.188.2', 59951)",REQ_177_P443,RES_48_P443,2022-05-12 23:48:41.979603,closed,443
S137,"('172.105.152.112', 56996)",REQ_178_P443,RES_45_P443,2022-05-12 23:53:15.264710,closed,443
S138,"('212.102.58.164', 50904)",REQ_179_P443,RES_13_P443,2022-05-12 23:53:36.111560,closed,443
S138,"('212.102.58.164', 50230)",REQ_180_P443,RES_15_P443,2022-05-12 23:54:49.028603,closed,443
S140,"('212.102.58.164', 56532)",REQ_181_P443,RES_31_P443,2022-05-13 00:00:44.706632,closed,443
S140,"('212.102.58.164', 42160)",REQ_182_P443,RES_39_P443,2022-05-13 00:01:41.733147,closed,443
S142,"('212.102.58.164', 43158)",REQ_183_P443,RES_41_P443,2022-05-13 00:09:30.076923,closed,443
S143,"('212.102.58.164', 54058)",REQ_184_P443,RES_14_P443,2022-05-13 00:11:09.669256,closed,443
S144,"('212.102.58.164', 51022)",REQ_185_P443,RES_52_P443,2022-05-13 00:17:35.570457,closed,443
S144,"('212.102.58.164', 35918)",REQ_186_P443,RES_52_P443,2022-05-13 00:18:17.202630,closed,443
S146,"('192.241.212.171', 56310)",REQ_187_P443,RES_42_P443,2022-05-13 00:43:46.709460,closed,443
S147,"('128.14.134.170', 44518)",REQ_188_P443,RES_15_P443,2022-05-13 00:59:06.868894,closed,443
S148,"('212.102.58.164', 58674)",REQ_189_P443,RES_16_P443,2022-05-13 01:08:50.604787,closed,443
S149,"('212.102.58.164', 47460)",REQ_190_P443,RES_35_P443,2022-05-13 01:10:26.591758,closed,443
S150,"('212.102.58.164', 44702)",REQ_191_P443,RES_4_P443,2022-05-13 01:17:04.000761,closed,443
S150,"('212.102.58.164', 49812)",REQ_192_P443,RES_38_P443,2022-05-13 01:17:55.304744,closed,443
S152,"('212.102.58.164', 48856)",REQ_193_P443,RES_7_P443,2022-05-13 01:25:27.012701,closed,443
S153,"('212.102.58.164', 55438)",REQ_194_P443,RES_39_P443,2022-05-13 01:26:50.042931,closed,443
S154,"('192.241.216.81', 43182)",REQ_195_P443,RES_19_P443,2022-05-13 01:27:42.947350,closed,443
S155,"('205.210.31.18', 52151)",REQ_196_P443,RES_47_P443,2022-05-13 01:38:07.574468,closed,443
S156,"('192.241.212.122', 38564)",REQ_197_P443,RES_18_P443,2022-05-13 01:48:26.593333,closed,443
S157,"('212.102.58.164', 56558)",REQ_198_P443,RES_3_P443,2022-05-13 07:32:26.866938,closed,443
S157,"('212.102.58.164', 48134)",REQ_199_P443,RES_1_P443,2022-05-13 07:33:10.863012,closed,443
S159,"('212.102.58.164', 40898)",REQ_200_P443,RES_19_P443,2022-05-13 07:46:56.138476,closed,443
S160,"('192.241.221.20', 35532)",REQ_201_P443,RES_45_P443,2022-05-13 08:02:33.187523,closed,443
S161,"('192.241.221.222', 44370)",REQ_202_P443,RES_48_P443,2022-05-13 08:05:48.374510,closed,443
S162,"('192.241.223.11', 40364)",REQ_203_P443,RES_48_P443,2022-05-13 08:07:03.937417,closed,443
S163,"('54.244.149.136', 20076)",REQ_204_P443,RES_49_P443,2022-05-13 08:22:26.053345,closed,443
S163,"('54.244.149.136', 9135)",REQ_205_P443,RES_31_P443,2022-05-13 08:22:27.286267,closed,443
S163,"('54.244.149.136', 65212)",REQ_206_P443,RES_3_P443,2022-05-13 08:22:28.442655,closed,443
S166,"('212.102.58.164', 44986)",REQ_207_P443,RES_32_P443,2022-05-13 08:40:47.902039,closed,443
S167,"('212.102.58.164', 43114)",REQ_208_P443,RES_34_P443,2022-05-13 08:47:17.242814,closed,443
