SessionID,ADDR,RequestID,ResponseID,TIME,STATUS,PORT
S1,"('39.105.54.139', 39970)",REQ_2_P7547,RES_2_P7547,2022-05-10 18:32:09.752990,closed,7547
S1,"('39.105.54.139', 40026)",REQ_3_P7547,RES_1_P7547,2022-05-10 18:32:12.935200,closed,7547
S3,"('205.210.31.10', 56475)",REQ_4_P7547,RES_4_P7547,2022-05-11 00:48:53.392136,closed,7547
S4,"('205.210.31.28', 60552)",REQ_5_P7547,RES_3_P7547,2022-05-12 01:25:15.360209,closed,7547
S5,"('106.75.190.116', 35902)",REQ_6_P7547,RES_3_P7547,2022-05-13 12:54:01.286270,closed,7547
S6,"('205.210.31.17', 61868)",REQ_7_P7547,RES_2_P7547,2022-05-14 01:16:34.755931,closed,7547
S7,"('23.129.64.138', 21545)",REQ_8_P7547,RES_4_P7547,2022-05-16 14:55:18.762194,closed,7547
S8,"('199.249.230.87', 40796)",REQ_9_P7547,RES_6_P7547,2022-05-16 14:55:22.540943,closed,7547
S9,"('23.129.64.139', 6859)",REQ_10_P7547,RES_4_P7547,2022-05-16 14:55:23.390757,closed,7547
S10,"('185.220.101.49', 19158)",REQ_11_P7547,RES_2_P7547,2022-05-16 14:55:27.103403,closed,7547
S11,"('185.220.100.242', 4500)",REQ_12_P7547,RES_8_P7547,2022-05-16 14:55:38.080341,closed,7547
S12,"('23.129.64.145', 24953)",REQ_13_P7547,RES_6_P7547,2022-05-16 14:55:42.744659,closed,7547
S12,"('23.129.64.145', 25039)",REQ_14_P7547,RES_9_P7547,2022-05-16 14:55:47.386288,closed,7547
S14,"('23.129.64.135', 13237)",REQ_15_P7547,RES_2_P7547,2022-05-16 14:55:47.400647,closed,7547
S15,"('152.32.216.16', 53616)",REQ_16_P7547,RES_5_P7547,2022-05-16 15:27:19.382125,closed,7547
S15,"('152.32.216.16', 59918)",REQ_17_P7547,RES_6_P7547,2022-05-16 15:27:20.937816,closed,7547
S15,"('152.32.216.16', 62122)",REQ_18_P7547,RES_3_P7547,2022-05-16 15:27:23.247781,closed,7547
S15,"('152.32.216.16', 64436)",REQ_19_P7547,RES_6_P7547,2022-05-16 15:27:25.595813,closed,7547
S15,"('152.32.216.16', 11894)",REQ_20_P7547,RES_8_P7547,2022-05-16 15:27:27.900198,closed,7547
S15,"('152.32.216.16', 13944)",REQ_21_P7547,RES_4_P7547,2022-05-16 15:27:30.470468,closed,7547
S15,"('152.32.216.16', 16142)",REQ_22_P7547,RES_2_P7547,2022-05-16 15:27:32.772215,closed,7547
S15,"('152.32.216.16', 18112)",REQ_23_P7547,RES_9_P7547,2022-05-16 15:27:35.098504,closed,7547
S15,"('152.32.216.16', 20296)",REQ_24_P7547,RES_3_P7547,2022-05-16 15:27:37.372354,closed,7547
S15,"('152.32.216.16', 22034)",REQ_25_P7547,RES_1_P7547,2022-05-16 15:27:39.648914,closed,7547
S15,"('152.32.216.16', 24008)",REQ_26_P7547,RES_9_P7547,2022-05-16 15:27:41.936087,closed,7547
S15,"('152.32.216.16', 26520)",REQ_27_P7547,RES_3_P7547,2022-05-16 15:27:44.214435,closed,7547
S15,"('152.32.216.16', 29164)",REQ_28_P7547,RES_2_P7547,2022-05-16 15:27:46.527314,closed,7547
S15,"('152.32.216.16', 31990)",REQ_29_P7547,RES_7_P7547,2022-05-16 15:27:49.869394,closed,7547
S15,"('152.32.216.16', 34738)",REQ_30_P7547,RES_7_P7547,2022-05-16 15:27:52.792636,closed,7547
S15,"('152.32.216.16', 38178)",REQ_31_P7547,RES_6_P7547,2022-05-16 15:27:55.077791,closed,7547
S15,"('152.32.216.16', 41322)",REQ_32_P7547,RES_4_P7547,2022-05-16 15:27:57.551337,closed,7547
S15,"('152.32.216.16', 44726)",REQ_33_P7547,RES_5_P7547,2022-05-16 15:28:00.512867,closed,7547
S15,"('152.32.216.16', 47506)",REQ_34_P7547,RES_9_P7547,2022-05-16 15:28:02.794458,closed,7547
S15,"('152.32.216.16', 50064)",REQ_35_P7547,RES_4_P7547,2022-05-16 15:28:05.098584,closed,7547
S15,"('152.32.216.16', 52924)",REQ_36_P7547,RES_6_P7547,2022-05-16 15:28:07.438365,closed,7547
S15,"('152.32.216.16', 54382)",REQ_37_P7547,RES_7_P7547,2022-05-16 15:28:10.184560,closed,7547
S15,"('152.32.216.16', 56656)",REQ_38_P7547,RES_9_P7547,2022-05-16 15:28:12.454573,closed,7547
S15,"('152.32.216.16', 58604)",REQ_39_P7547,RES_2_P7547,2022-05-16 15:28:14.756109,closed,7547
S15,"('152.32.216.16', 61028)",REQ_40_P7547,RES_6_P7547,2022-05-16 15:28:17.324664,closed,7547
S15,"('152.32.216.16', 62716)",REQ_41_P7547,RES_5_P7547,2022-05-16 15:28:20.042044,closed,7547
S15,"('152.32.216.16', 64728)",REQ_42_P7547,RES_9_P7547,2022-05-16 15:28:22.305867,closed,7547
S15,"('152.32.216.16', 12040)",REQ_43_P7547,RES_1_P7547,2022-05-16 15:28:24.627517,closed,7547
S15,"('152.32.216.16', 14364)",REQ_44_P7547,RES_2_P7547,2022-05-16 15:28:26.941159,closed,7547
S15,"('152.32.216.16', 16402)",REQ_45_P7547,RES_1_P7547,2022-05-16 15:28:29.536246,closed,7547
S15,"('152.32.216.16', 18860)",REQ_46_P7547,RES_2_P7547,2022-05-16 15:28:31.956216,closed,7547
S15,"('152.32.216.16', 21488)",REQ_47_P7547,RES_1_P7547,2022-05-16 15:28:34.255218,closed,7547
