SessionID,ADDR,RequestID,ResponseID,TIME,STATUS,PORT
S1,"('103.203.57.24', 58866)",REQ_1_P9999,,2022-05-10 12:02:05.874741,closed,9999
S1,"('103.203.57.24', 58868)",REQ_2_P9999,,2022-05-10 12:02:07.301045,closed,9999
S3,"('23.251.102.74', 45674)",REQ_3_P9999,,2022-05-10 15:15:59.426925,closed,9999
S4,"('128.1.248.26', 47762)",REQ_4_P9999,RES_1_P9999,2022-05-11 12:19:33.543881,closed,9999
S5,"('172.105.224.72', 41348)",REQ_5_P9999,RES_9_P9999,2022-05-16 17:04:01.852105,closed,9999
S6,"('178.32.197.86', 45937)",REQ_6_P9999,RES_4_P9999,2022-05-16 18:58:50.826366,closed,9999
S7,"('188.165.87.111', 37557)",REQ_7_P9999,RES_13_P9999,2022-05-16 19:30:30.708954,closed,9999
S8,"('192.241.213.118', 58802)",REQ_8_P9999,RES_11_P9999,2022-05-20 14:14:35.150893,closed,9999
S9,"('130.93.25.146', 33214)",REQ_9_P9999,RES_5_P9999,2022-05-23 10:15:20.610287,closed,9999
S10,"('159.223.3.45', 61953)",REQ_10_P9999,RES_12_P9999,2022-05-23 11:13:19.735589,closed,9999
S11,"('192.241.214.239', 33168)",REQ_11_P9999,RES_8_P9999,2022-05-23 14:18:43.061237,closed,9999
S12,"('183.136.225.42', 33737)",REQ_12_P9999,RES_7_P9999,2022-05-23 18:07:34.648563,closed,9999
S13,"('185.220.100.243', 14210)",REQ_13_P9999,RES_2_P9999,2022-05-23 22:42:40.054248,closed,9999
S14,"('185.220.101.54', 27604)",REQ_14_P9999,RES_6_P9999,2022-05-23 22:42:43.664989,closed,9999
S15,"('199.249.230.87', 39026)",REQ_15_P9999,RES_6_P9999,2022-05-23 22:42:44.527109,closed,9999
S15,"('199.249.230.87', 40364)",REQ_16_P9999,RES_6_P9999,2022-05-23 22:42:46.147130,closed,9999
S17,"('185.220.101.55', 24128)",REQ_17_P9999,RES_6_P9999,2022-05-23 22:42:46.597248,closed,9999
S17,"('185.220.101.55', 11950)",REQ_18_P9999,RES_6_P9999,2022-05-23 22:42:51.210578,closed,9999
S19,"('66.210.252.239', 58338)",REQ_19_P9999,RES_6_P9999,2022-05-23 22:42:55.153314,closed,9999
S19,"('66.210.252.239', 58996)",REQ_20_P9999,RES_6_P9999,2022-05-23 22:42:57.148506,closed,9999
S19,"('66.210.252.239', 59290)",REQ_21_P9999,RES_6_P9999,2022-05-23 22:43:01.998677,closed,9999
S13,"('185.220.100.243', 23402)",REQ_22_P9999,RES_6_P9999,2022-05-23 22:43:06.648672,closed,9999
S23,"('51.15.126.12', 55898)",REQ_23_P9999,RES_6_P9999,2022-05-23 22:43:09.464237,closed,9999
S24,"('139.162.190.203', 31346)",REQ_24_P9999,RES_6_P9999,2022-05-24 10:03:44.080372,open,9999
