ID,ADDR,VALUE,TIME
REQ_1_P88,,b'',2022-05-02 23:13:41.505142
REQ_2_P88,,"b'GET / HTTP/1.1\r\nHost: 3.14.69.228:88\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8\r\nAccept-Encoding: deflate, gzip, identity\r\nAccept-Language: en-US;q=0.6,en;q=0.4\r\nUser-Agent: Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1\r\n\r\n'",2022-05-02 23:13:41.505142
REQ_3_P88,,b'GET / HTTP/1.1\r\nHost: 3.14.69.228:88\r\nUser-Agent: Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)\r\n\r\n',2022-05-02 23:13:41.505142
REQ_4_P88,"('128.14.134.170', 52350)","b'GET /admin/ HTTP/1.1\r\nHost: 54.91.30.20:88\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 \r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n'",2022-05-11 12:32:25.377774
