ID,ADDR,VALUE,TIME
REQ_1_P9999,"('103.203.57.24', 58866)",b'GET http://clientapi.ipip.net/echo.php?info=20220510120205 HTTP/1.1\r\nHost: clientapi.ipip.net\r\nAccept: */*\r\nPragma: no-cache\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; WOW64)\r\n\r\n',2022-05-10 12:02:05.869576
REQ_2_P9999,"('103.203.57.24', 58868)",b'\x05\x02\x00\x02',2022-05-10 12:02:05.904147
REQ_3_P9999,"('23.251.102.74', 45674)","b'GET / HTTP/1.1\r\nHost: 54.91.30.20:9999\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 \r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n'",2022-05-10 15:15:59.409411
REQ_4_P9999,"('128.1.248.26', 47762)","b'GET /admin/ HTTP/1.1\r\nHost: 54.91.30.20:9999\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 \r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n'",2022-05-11 12:19:33.540558
REQ_5_P9999,"('172.105.224.72', 41348)",b'GET / HTTP/1.1\r\nHost: 54.91.30.20:9999\r\nUser-Agent: HTTP Banner Detection (https://security.ipip.net)\r\nConnection: close\r\n\r\n',2022-05-16 17:04:01.849478
REQ_6_P9999,"('178.32.197.86', 45937)","b'GET / HTTP/1.1\r\nHost: 54.91.30.20:9999\r\nConnection: close\r\nUser-Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:58.0) Gecko/20100101 Firefox/58.0\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8\r\nAccept-Language: en-US,en;q=0.5\r\n\r\n'",2022-05-16 18:58:50.823903
REQ_7_P9999,"('188.165.87.111', 37557)","b'GET /favicon.ico HTTP/1.1\r\nHost: 54.91.30.20:9999\r\nConnection: close\r\nUser-Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:58.0) Gecko/20100101 Firefox/58.0\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8\r\nAccept-Language: en-US,en;q=0.5\r\n\r\n'",2022-05-16 19:30:30.706338
REQ_8_P9999,"('192.241.213.118', 58802)",b'',2022-05-20 14:14:35.144853
REQ_9_P9999,"('130.93.25.146', 33214)",b'GET / HTTP/1.1\r\n\r\n\n\n',2022-05-23 10:15:20.599488
REQ_10_P9999,"('159.223.3.45', 61953)",b'GET / HTTP/1.0\r\n\r\n',2022-05-23 11:13:19.729482
REQ_11_P9999,"('192.241.214.239', 33168)",b'',2022-05-23 14:18:43.055269
REQ_12_P9999,"('183.136.225.42', 33737)",b'GET / HTTP/1.1\r\nHost: 54.91.30.20:9999\r\nUser-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0\r\nAccept: */*\r\nConnection: keep-alive\r\n\r\n',2022-05-23 18:07:34.642734
REQ_13_P9999,"('185.220.100.243', 14210)","b'GET / HTTP/1.1\r\nHost: 54.91.30.20:9999\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36\r\nConnection: close\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n'",2022-05-23 22:42:40.047346
REQ_14_P9999,"('185.220.101.54', 27604)",b'OPTIONS / HTTP/1.0\r\n\r\n',2022-05-23 22:42:43.659306
REQ_15_P9999,"('199.249.230.87', 39026)",b'',2022-05-23 22:42:44.521241
REQ_16_P9999,"('199.249.230.87', 40364)",b'GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0\r\n\r\n',2022-05-23 22:42:45.056721
REQ_17_P9999,"('185.220.101.55', 24128)",b'JRMI\x00\x02K',2022-05-23 22:42:46.591640
REQ_18_P9999,"('185.220.101.55', 11950)",b'\x12\x01\x00\x1a\x00\x00\x00\x00\x00\x00\x0b\x00\x06\x01\x00\x11\x00\x01\xff\x08\x00\x01U\x00\x00\x01',2022-05-23 22:42:50.120198
REQ_19_P9999,"('66.210.252.239', 58338)",b'\x00\x00\x001\xffSMBr\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x0e\x00\x02NT LM 0.12\x00\x02\x00',2022-05-23 22:42:55.147604
REQ_20_P9999,"('66.210.252.239', 58996)",b'\x00\x00\x00n\xfeSMB@\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00$\x00\x04\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x02\x02\x10\x02\x00\x03\x02\x03\x11\x03',2022-05-23 22:42:56.055893
REQ_21_P9999,"('66.210.252.239', 59290)","b""\x03\x00\x00,'\xe0\x00\x00\x00\x00\x00Cookie: mstshash=eltons\r\n\x01\x00\x08\x00\x03\x00\x00\x00""",2022-05-23 22:43:00.907601
REQ_22_P9999,"('185.220.100.243', 23402)",b'',2022-05-23 22:43:05.561203
REQ_23_P9999,"('51.15.126.12', 55898)","b'\x16\x03\x01\x00\xee\x01\x00\x00\xea\x03\x03C\x7f\xec\x8a\x07\xca\x8a\xc2\x99W9\x03k\xe6\xf4\xe6\xf9\r\x95\xb2\xc9H\x8a\xb0\xe83 \xfaG\x8c\xc7\x80 \xd7\xe1\x04-\xbfY\x08,\xba\xd5Q\x9f\xe0\xd4\xd3;\re\x00w2\x01{\xf9\xed\x80\xc0m\x13V\x0e\xa8\x00&\xc0+\xc0/\xc0,\xc00\xcc\xa9\xcc\xa8\xc0\t\xc0\x13\xc0\n\xc0\x14\x00\x9c\x00\x9d\x00/\x005\xc0\x12\x00\n\x13\x01\x13\x02\x13\x03\x01\x00\x00{\x00\x05\x00\x05\x01\x00\x00\x00\x00\x00\n\x00\n\x00\x08\x00\x1d\x00\x17\x00\x18\x00\x19\x00\x0b\x00\x02\x01\x00\x00\r\x00\x1a\x00\x18\x08\x04\x04\x03\x08\x07\x08\x05\x08\x06\x04\x01\x05\x01\x06\x01\x05\x03\x06\x03\x02\x01\x02\x03\xff\x01\x00\x01\x00\x00\x12\x00\x00\x00+\x00\t\x08\x03\x04\x03\x03\x03\x02\x03\x01\x003\x00&\x00$\x00\x1d\x00 Px\x90\x0e\xf4m\x9d\xafQ\x91\x0b\xe1L\xf2\x15\r}\xb4\x1bT\xdb\x96L\xbc\x7f\xef\xb1s\xff\xf8\xf8A'",2022-05-23 22:43:09.458487
REQ_24_P9999,"('139.162.190.203', 31346)","b'GET / HTTP/1.0\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36\r\nAccept: */*\r\n\r\n\x00'",2022-05-24 10:03:44.073542
